indicator,spanish_translation,category,spanish_category,interpretable_name,indicator_source,indicator_calculation_description,indicator_comments
Drinking_Water,Agua potable,Water,Agua,Drinking water contamination,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"See cal enviro report 4.0 for detailed description: Large number of sources of data listed (Safe Drinking Water Information System (SDWIS) –California State Water Resources Control Board, EDT Library and Water Quality Analyses Data and Download Page – California State Water Resources Control Board as examples"" . ""The drinking water contaminant index is a combination of contaminant data that takes into account the relative concentrations of different contaminants and whether multiple contaminants are present. The indicator does not indicate whether water is safe to drink. Certain assumptions, data gaps and limitations within the indicator score methodology may affect the calculation of scores. For example, the indicator score is calculated using average contaminant concentrations over one compliance cycle (2011-2019). Therefore, those average concentrations may not be representative of current concentrations in treated drinking water. The indicator results do not provide a basis for determining when differences between scores are significant in relation to human health. Census tracts can encompass multiple public drinking water systems, and therefore, their scores may represent a combination of water contaminant data from several public drinking water systems and groundwater sources. As such, the drinking water contaminant score may not reflect the water that an individual resident of that tract is drinking.""","This indicator combines data from multiple toxicants such as nitrates, animal waste, perchlorate, arsenic, lead, Trichloropropane, Trihalomethanes etc. -- Maybe this should also go in the toxicant category? "
Drinking_Water_Pctl,Agua_potable_Pctl,Water,Agua,Drinking water contamination percentile by census tract,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40 ,"See cal enviro report 4.0 for detailed description: Large number of sources of data listed (Safe Drinking Water Information System (SDWIS) –California State Water Resources Control Board, EDT Library and Water Quality Analyses Data and Download Page – California State Water Resources Control Board as examples"" . ""The drinking water contaminant index is a combination of contaminant data that takes into account the relative concentrations of different contaminants and whether multiple contaminants are present. The indicator does not indicate whether water is safe to drink. Certain assumptions, data gaps and limitations within the indicator score methodology may affect the calculation of scores. For example, the indicator score is calculated using average contaminant concentrations over one compliance cycle (2011-2019). Therefore, those average concentrations may not be representative of current concentrations in treated drinking water. The indicator results do not provide a basis for determining when differences between scores are significant in relation to human health. Census tracts can encompass multiple public drinking water systems, and therefore, their scores may represent a combination of water contaminant data from several public drinking water systems and groundwater sources. As such, the drinking water contaminant score may not reflect the water that an individual resident of that tract is drinking.""","This indicator combines data from multiple toxicants such as nitrates, animal waste, perchlorate, arsenic, lead, Trichloropropane, Trihalomethanes etc. -- Maybe this should also go in the toxicant category? "
Lead,Plomo,Toxicants,Tóxicos,Potential risk for lead exposure from housing,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,Percentage of households within a census tract with likelihood of lead-based paint (LBP) hazards from the age of housing (2017 California parcel data and 5-year estimates 2015-2019) combined with the percentage of households that are both low-income (household income less than 80% of the county median family income) and have children under 6 years old (5-year estimates 2013-2017).,This indicator is specifically for small children based on the description of the calculation... Maybe this isn't best to include here. 
Lead_Pctl,Plomo_Pctl,Toxicants,Tóxicos,Potential risk for lead exposure from housing percentile,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,Percentage of households within a census tract with likelihood of lead-based paint (LBP) hazards from the age of housing (2017 California parcel data and 5-year estimates 2015-2019) combined with the percentage of households that are both low-income (household income less than 80% of the county median family income) and have children under 6 years old (5-year estimates 2013-2017).,This indicator is specifically for small children based on the description of the calculation... Maybe this isn't best to include here. 
Pesticides,Pesticidas,Toxicants,Tóxicos,Agricultural pesticide use,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"Total pounds of 132 selected active pesticide ingredients (filtered for hazard and volatility) used in production-agriculture per square mile, averaged over three years (2017 to 2019). California Department of Pesticide Regulation (DPR): In California, all agricultural pesticide use must be reported monthly
to county agricultural commissioners, who report the data to DPR.Production agricultural pesticide use data are publicly available for each Meridian-Township-Range-Section (MTRS) in California and were used to create this indicator. An MTRS, or section, is roughly equivalent to one square mile.",Maybe we want to get real-time data from the DPR MTRS for our application here?
Pesticides_Pctl,Pesticidas_Pctl,Toxicants,Tóxicos,Agricultural pesticide use percentile by census tract ,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"Total pounds of 132 selected active pesticide ingredients (filtered for hazard and volatility) used in production-agriculture per square mile, averaged over three years (2017 to 2019). California Department of Pesticide Regulation (DPR): In California, all agricultural pesticide use must be reported monthly
to county agricultural commissioners, who report the data to DPR.Production agricultural pesticide use data are publicly available for each Meridian-Township-Range-Section (MTRS) in California and were used to create this indicator. An MTRS, or section, is roughly equivalent to one square mile.",Maybe we want to get real-time data from the DPR MTRS for our application here?
Imp._Water_Bodies,Imp._Cuerpos_de_agua,Water,Agua,Lake and river pollutants,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"State Water Resources Control Board (SWRCB): The SWRCB provides information relevant to the condition of California surface waters. Such information is required by the Federal Clean Water Act. Every two years, State and Regional Water Boards assess and report on the quality of California surface waters. Lakes, streams and rivers, and coastal waters that do not meet water quality standards, or are not expected to meet water quality
standards, are listed as impaired under Section 303(d) of the Clean Water Act. The 2018 303(d) List was based on water quality data collected prior to May 3, 2017. Data and information about the 303(d) List are available at the link below: https://www.waterboards.ca.gov/water_issues/programs/water_quality_assessment/",This is for lakes and rivers -- proabbly not relevant to farmworkers unless they are drinking from lakes or rivers. 
Imp._Water_Bodies_Pctl,Imp._Cuerpos_de_agua_Pctl,Water,Agua,Lake and river pollutants percentile by census tract,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"State Water Resources Control Board (SWRCB): The SWRCB provides information relevant to the condition of California surface waters. Such information is required by the Federal Clean Water Act. Every two years, State and Regional Water Boards assess and report on the quality of California surface waters. Lakes, streams and rivers, and coastal waters that do not meet water quality standards, or are not expected to meet water quality
standards, are listed as impaired under Section 303(d) of the Clean Water Act. The 2018 303(d) List was based on water quality data collected prior to May 3, 2017. Data and information about the 303(d) List are available at the link below: https://www.waterboards.ca.gov/water_issues/programs/water_quality_assessment/",This is for lakes and rivers -- proabbly not relevant to farmworkers unless they are drinking from lakes or rivers. 
Housing_Burden,Carga_vivienda,Housing,Vivienda,Percentage housholds paying more than 50% income in rent,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,"Housing-Burdened Low-Income Households. Percent of households in a census tract that are both low income (making less than 80% of the HUD Area Median Family Income) and severely burdened by housing costs (paying greater than 50% of their income to housing costs). (5-year estimates, 2013-2017).  Housing and Urban Development (HUD) Comprehensive Housing Affordability Strategy (CHAS) data is the source of the data. The American Community Survey (ACS) is an ongoing survey of the US population conducted by the US Census Bureau. Each year, the HUD receives custom tabulations of ACS data from the US Census Bureau. These data, known as the ""CHAS"" data (Comprehensive Housing Affordability Strategy), demonstrate the extent of housing problems and housing needs, particularly for low income households. The most recent results available at the census tract scale are the 5-year estimates for 2013-2017. (https://www.huduser.gov/portal/datasets/cp.html) ",This might be a good indicator to include... Although it doesn't reflect pure price of housing by county. 
Housing_Burden_Pctl,Carga_vivienda_Pctl,Housing,Vivienda,Percentage housholds paying more than 50% income in rent percentile by census tract,Cal Enviro Screen : https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,See above. ,This might be a good indicator to include... Although it doesn't reflect pure price of housing by county. 
treecanopy,copas de los árboles,Tree_Coverage,Cobertura_de_árboles,"Population-weighted percentage of the census tract area with tree
canopy",Healthy Places Index:  https://www.healthyplacesindex.org/learning-center,All they have for this in the report is a table that says tree canopy -- NLCD like CHVI above but from 2011 not 2021. Also there are duplicate treecanopy varaibles with different descriptions of how they are calculated in the the table... ,"We should keep either the CCHVI or this one -- they contain the same information, although the CHVI has a much more detailed description. "
treecanopy_pctile,árbolcanopy_pctile,Tree_Coverage,Cobertura_de_árboles,"Population-weighted percentage of the census tract area with tree
canopy as a percentile by census tract",Healthy Places Index: https://www.healthyplacesindex.org/learning-center,All they have for this in the report is a table that says tree canopy -- NLCD like CHVI above but from 2011 not 2021. Also there are duplicate treecanopy varaibles with different descriptions of how they are calculated in the the table... ,"We should keep either the CCHVI or this one -- they contain the same information, although the CHVI has a much more detailed description. "
Housing_Opportunity:_People_Domain,Oportunidad_de_vivienda:_dominio_de_personas,Housing,Vivienda,Homeownership and housing costs,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,This is the geometric mean of homeownership and housing costs -- the calculations for which are described below. ,This doesn't seem useful to me -- maybe we should just use the indicators used to calculate this. 
Housing_Cost_Burden,Carga_de_costos_de_vivienda,Housing,Vivienda,Percentage of households paying less than 30% of household income on housing costs  ,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html," Number of households whose housing costs are less than 30% of household income in the past 12 months divided by total occupied housing units, multiplied by 100. Refer to the maps or downloadable data to determine which ACS release is used for a specific version of the ROI. ACS 5-year estimates, Table B25106",This data is out of date -- although this seems like it could be a useful indicator. 
Housing_Opportunity:_Place_Domain,Oportunidad_de_vivienda:_Lugar_Dominio,Housing,Vivienda,Housing adequacy and housing affordability ,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,This is the geometric mean of housing adequacy and housing affordability -- the calculations for which are described below.,This doesn't seem useful to me -- maybe we should just use the indicators used to calculate this. 
Housing_Adequacy,Adecuación_de_vivienda,Housing,Vivienda,Number of inhabitants per room,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,"Number of households with 1 or fewer occupants per room divided by total occupied housing units, multiplied by 100. Refer to the maps or downloadable data to determine which ACS release is used for a specific version of the ROI. Source: ACS 5-year estimates, Table B25014",Not sure this is useful to farmworkers -- maybe just the cost of housing overall would be a better indicator (this available from ACS). 
Housing_Affordability,Vivienda_Asequibilidad,Housing,Vivienda,Income vs Housing Cost ,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,"Ratio of median income of census tract to median value of dwellings in census tract. Median household income divied by median value of owner occupied dwellings. ACS caps home prices at $1,000,001, but not provide a margin of error (MOE) for tracts where this was done. We calculated the average MOE for tracts with median home prices ranging from $900-999,000, and assigned that MOE to tracts with median home values over $1 million. We cap the housing affordability ratio at 0.50 to reduce the effect that 7 outliers (tracts with extremely high values compared to the rest of the tracts) have on the index. Refer to the maps or downloadable data to determine which ACS release is used for a specific version of the ROI. Source: ACS 5-year estimates, Tables B19013 and B25077",Not sure this is useful to farmworkers -- maybe just the cost of housing overall would be a better indicator (this available from ACS). 
Air_Quality,Calidad del aire,Air,Aire,Air pollution,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,"Annual mean concentration of particles that are less than 2.5 micrometers in diameter. OEHHA computes the variable by taking the mean of quarterly means for monitors within 50km of the tract centroid. Monitors which reported fewer than 75% of the expected number of observations, based on scheduled sampling frequency, were dropped from the calculation. Tracts that were further than 50km from the nearest monitor are missing data. The EPA's standard for annual PM2.5 concentration is 15 micrograms per cubic meter (µg/m3).  Source: Office of Environmental Health Hazard Assessment (OEHHA) and Air Resources Board (CalEPA)",This seems useful! 
Housing:_People_z-score,Vivienda:_Gente_Puntuación_z,Housing,Vivienda,Homeownership and housing costs z-score relative to other census tracts ,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,z-score relative to other census tracts. value calculations described above. ,Maybe these z-scores are better -- even so I don't think the 'People' indicator is useful.  
Housing_Cost_Burden_z-score,Puntuación_z-coste_carga_de_vivienda,Housing,Vivienda,Percentage of households paying less than 30% of household income on housing costs relative to other census tracts,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,z-score relative to other census tracts. value calculations described above. ,Maybe these z-scores are better but raw housing costs might be more useful than this for farmworkers   
Housing:_Place_z-score,Vivienda:_Lugar_Puntuación_z,Housing,Vivienda,Housing adequacy and housing affordability z-score relative to other census tracts ,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,z-score relative to other census tracts. value calculations described above. ,Maybe these z-scores are better -- even so I don't think the 'Place' indicator is useful.  
Housing_Adequacy_z-score,Puntuación_z_adecuación_de_vivienda,Housing,Vivienda,Number of inhabitants per room z-score relative to other census tracts ,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,z-score relative to other census tracts. value calculations described above. ,Maybe these z-scores are better -- even so I don't think number of people per room indicator is very relevant to farmworkers   
Housing_Affordability_z-score,Vivienda_Asequibilidad_Puntuación_z,Housing,Vivienda,Income vs Housing Cost z-score relative to other census tracts ,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,z-score relative to other census tracts. value calculations described above. ,Maybe these z-scores are better -- just raw housing costs might be more useful.  
Air_Quality_z-score,Puntuación_z_calidad_del_aire,Air,Aire,Air pollution z-score relative to other census tracts,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,z-score relative to other census tracts. value calculations described above. ,Do we need a z-score for this?
