indicator,spanish_translation,category,spanish_category,interpretable_name,indicator_source,indicator_calculation_description,indicator_comments
treecanopy,copas de los árboles,Tree_Coverage,Cobertura_de_árboles,"Population-weighted percentage of the census tract area with tree
canopy",Healthy Places Index:  https://www.healthyplacesindex.org/learning-center,"Data sourced from the Healthy Places Index (https://www.healthyplacesindex.org). Data based on satellite imagery of tree covereage from 2011, suppllied by the National Land Cover Database. ","We should keep either the CCHVI or this one -- they contain the same information, although the CHVI has a much more detailed description. "
treecanopy_percentile,árbolcanopy_percentil,Tree_Coverage,Cobertura_de_árboles,"Population-weighted percentage of the census tract area with tree
canopy by census tract (percentile)",Healthy Places Index: https://www.healthyplacesindex.org/learning-center,"Data sourced from the Healthy Places Index (https://www.healthyplacesindex.org). Data based on satellite imagery of tree covereage from 2011, suppllied by the National Land Cover Database. Percentile calculated relative to other census tracts. ","We should keep either the CCHVI or this one -- they contain the same information, although the CHVI has a much more detailed description. "
Air_Quality,Calidad del aire,Air,Aire,PM2.5 concentration ,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,Data sourced from the Regional Opportunity Index (https://interact.regionalchange.ucdavis.edu/roi/data.html). Annual mean concentration of particles that are less than 2.5 micrometers in diameter computed and sampled by the Office of Environmental Health Hazard Assessment (2015-2017?). Percentiles calculated relative to other census tracts. ,This seems useful! But this data is old... 
Air_Quality_percentile,Calidad del aire percentil,Air,Aire,PM2.5 concentration (percentile),ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,Data sourced from the Regional Opportunity Index (https://interact.regionalchange.ucdavis.edu/roi/data.html). Annual mean concentration of particles that are less than 2.5 micrometers in diameter computed and sampled by the Office of Environmental Health Hazard Assessment 2015-2017?). Z-score calculated relative to other census tracts. ,Do we need a z-score for this?
Housing_Cost_Burden,Carga_de_costos_de_vivienda,Housing,Vivienda,Percentage of households paying less than 30% of household income on housing costs  ,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html," Number of households whose housing costs are less than 30% of household income in the past 12 months divided by total occupied housing units, multiplied by 100. Refer to the maps or downloadable data to determine which ACS release is used for a specific version of the ROI. ACS 5-year estimates, Table B25106",This data is out of date -- although this seems like it could be a useful indicator. 
Housing_Cost_Burden_percentile,Carga_de_costos_de_vivienda percentil,Housing,Vivienda,Percentage of households paying less than 30% of household income on housing costs  (percentile),ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html," Number of households whose housing costs are less than 30% of household income in the past 12 months divided by total occupied housing units, multiplied by 100. Refer to the maps or downloadable data to determine which ACS release is used for a specific version of the ROI. ACS 5-year estimates, Table B25106",This data is out of date -- although this seems like it could be a useful indicator. 
Housing_Affordability,Vivienda_Asequibilidad,Housing,Vivienda,Income vs Housing Cost (aboslute value),ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,"Ratio of median income of census tract to median value of dwellings in census tract. Median household income divied by median value of owner occupied dwellings. ACS caps home prices at $1,000,001, but not provide a margin of error (MOE) for tracts where this was done. We calculated the average MOE for tracts with median home prices ranging from $900-999,000, and assigned that MOE to tracts with median home values over $1 million. We cap the housing affordability ratio at 0.50 to reduce the effect that 7 outliers (tracts with extremely high values compared to the rest of the tracts) have on the index. Refer to the maps or downloadable data to determine which ACS release is used for a specific version of the ROI. Source: ACS 5-year estimates, Tables B19013 and B25077",Not sure this is useful to farmworkers -- maybe just the cost of housing overall would be a better indicator (this available from ACS). 
Housing_Affordability_percentile,Vivienda_Asequibilidad percentil,Housing,Vivienda,Income vs Housing Cost (percentile),ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,"Ratio of median income of census tract to median value of dwellings in census tract. Median household income divied by median value of owner occupied dwellings. ACS caps home prices at $1,000,001, but not provide a margin of error (MOE) for tracts where this was done. We calculated the average MOE for tracts with median home prices ranging from $900-999,000, and assigned that MOE to tracts with median home values over $1 million. We cap the housing affordability ratio at 0.50 to reduce the effect that 7 outliers (tracts with extremely high values compared to the rest of the tracts) have on the index. Refer to the maps or downloadable data to determine which ACS release is used for a specific version of the ROI. Source: ACS 5-year estimates, Tables B19013 and B25077",Not sure this is useful to farmworkers -- maybe just the cost of housing overall would be a better indicator (this available from ACS). 
Housing_Adequacy,Adecuación_de_vivienda,Housing,Vivienda,Overcrowding,ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,"Number of households with 1 or fewer occupants per room divided by total occupied housing units, multiplied by 100. Refer to the maps or downloadable data to determine which ACS release is used for a specific version of the ROI. Source: ACS 5-year estimates, Table B25014",Not sure this is useful to farmworkers -- maybe just the cost of housing overall would be a better indicator (this available from ACS). 
Housing_Adequacy_percentile,Adecuación_de_vivienda percentil,Housing,Vivienda,Overcrowding (percentile),ROI data: https://interact.regionalchange.ucdavis.edu/roi/data.html,"Number of households with 1 or fewer occupants per room divided by total occupied housing units, multiplied by 100. Refer to the maps or downloadable data to determine which ACS release is used for a specific version of the ROI. Source: ACS 5-year estimates, Table B25014",Not sure this is useful to farmworkers -- maybe just the cost of housing overall would be a better indicator (this available from ACS). 
imm_org_score_percentile,placeholder,placeholder_cat,placeholder_cat,Number of Immigrant Organizations (percentile),https://immigrantdataca.org/,"Data sourced from California Immigrant Data Portal (https://immigrantdataca.org/indicators/accessibility-of-services); Number of distinct location immigrant serving organizations per 10,000 non-citizen immigrants in California (2019), ranked by county; Data originally collected through GuideStar Pro Database; U.S. Census Bureau, 2019 American Community Survey 5-year Summary Files",
imm_org_score,placeholder_1,placeholder_cat,placeholder_cat,Number of Immigrant Organizations ,https://immigrantdataca.org/,"Data sourced from California Immigrant Data Portal (https://immigrantdataca.org/indicators/accessibility-of-services); Number of distinct location immigrant serving organizations per 10,000 non-citizen immigrants in California, 2019; Data originally collected through GuideStar Pro Database; U.S. Census Bureau, 2019 American Community Survey 5-year Summary Files",
total_incidents_per_100k,placeholder_2,placeholder_cat,placeholder_cat,Number of Hatecrimes,https://immigrantdataca.org/,"Data sourced from California Immigrant Data Porta (https://immigrantdataca.org/indicators/hate-crimes); Number of hate crimes per 100,000 residents and composition by bias type in California, as reported by law enforcement agencies to the California Department of Justice in 2020; All hate crimes reported by law enforcement agencies to the California Department of Justice (numerator), estimated annual population from the U.S. Census Bureau (denominator)",
total_incidents_per_100k_percentile,placeholder_3,placeholder_cat,placeholder_cat,Number of Hatecrimes (percentile),https://immigrantdataca.org/,"Data sourced from California Immigrant Data Porta (https://immigrantdataca.org/indicators/hate-crimes); Number of hate crimes per 100,000 residents and composition by bias type in California (2020), ranked by county, as reported by law enforcement agencies to the California Department of Justice; All hate crimes reported by law enforcement agencies to the California Department of Justice (numerator), estimated annual population from the U.S. Census Bureau (denominator)",
