"County","FIPS","Region","Definition","Strata","Race","Year","Mean","LL95","UL95","Numerator","Denominator"
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",3.051420241,NA,NA,NA,210
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",3.051420241,NA,NA,NA,7
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",NA,NA,NA,NA,0
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",3.051420241,NA,NA,NA,84
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",NA,NA,NA,NA,0
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",3.051420241,NA,NA,NA,852
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",3.051420241,NA,NA,NA,21
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",3.051420241,NA,NA,NA,1
"Alpine",6003,"Southeast Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",3.051420241,NA,NA,NA,1175
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",NA,NA,NA,NA,666
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2012-2014",NA,NA,NA,NA,510
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2012-2014",9.53630303,NA,NA,NA,822
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",8.78780075247934,NA,NA,NA,4784
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",6.82246612926329,NA,NA,NA,29496
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2012-2014",NA,NA,NA,NA,679
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",6.97086196633599,NA,NA,NA,36995
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",7.48147397067249,NA,NA,NA,547
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",7.60777844240849,NA,NA,NA,396
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",8.23870443179638,NA,NA,NA,938
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",7.82238810009051,NA,NA,NA,4756
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",7.55402817729032,NA,NA,NA,63
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",7.296715577596,NA,NA,NA,30325
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",7.40706978046034,NA,NA,NA,936
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",8.0225987789375,NA,NA,NA,130
"Amador",6005,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",7.39956447141641,NA,NA,NA,38091
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",8.04588656777778,NA,NA,NA,1525
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2012-2014",8.93266774517344,NA,NA,NA,9477
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2012-2014",NA,NA,NA,NA,3017
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",8.92494916887518,NA,NA,NA,33800
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",9.10332126168007,NA,NA,NA,164214
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2012-2014",8.27876414,NA,NA,NA,10022
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",9.07770171035226,NA,NA,NA,222564
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",9.01988658418498,NA,NA,NA,3395
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",9.23921624510392,NA,NA,NA,8921
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",9.3416076834606,NA,NA,NA,3133
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",9.21027758656471,NA,NA,NA,31116
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",9.38371327876559,NA,NA,NA,401
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",9.35681368254742,NA,NA,NA,165416
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",9.2768773306136,NA,NA,NA,7300
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",9.49472575614465,NA,NA,NA,318
"Butte",6007,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",9.32349957169408,NA,NA,NA,220000
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",8.65953328,NA,NA,NA,4967
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",6.83831614770327,NA,NA,NA,36951
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2012-2014",NA,NA,NA,NA,1653
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",6.88680286029843,NA,NA,NA,44767
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",6.69219961977568,NA,NA,NA,526
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",7.20217449560114,NA,NA,NA,529
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",7.25875376585634,NA,NA,NA,355
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",7.19091894796596,NA,NA,NA,4703
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",6.83072694971831,NA,NA,NA,71
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",6.83741167313653,NA,NA,NA,38074
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",7.00860114124841,NA,NA,NA,1252
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",7.12082457033823,NA,NA,NA,68
"Calaveras",6009,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",6.88484301775843,NA,NA,NA,45578
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",NA,NA,NA,NA,216
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",7.34159327599821,NA,NA,NA,12277
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",7.26551097067232,NA,NA,NA,8017
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",7.31673524507057,NA,NA,NA,21396
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",6.0738003152804,NA,NA,NA,296
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",5.82290975157678,NA,NA,NA,267
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",5.78885482515476,NA,NA,NA,168
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",5.82957018300424,NA,NA,NA,11804
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",6.27423720613559,NA,NA,NA,59
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",6.07662818161889,NA,NA,NA,8524
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",6.05279490002206,NA,NA,NA,272
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",6.01564976496551,NA,NA,NA,29
"Colusa",6011,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",5.93517477562319,NA,NA,NA,21419
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",NA,NA,NA,NA,3071
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2012-2014",8.11678858120337,NA,NA,NA,165336
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2012-2014",8.06220614413766,NA,NA,NA,94046
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",7.94748219646558,NA,NA,NA,273350
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2012-2014",NA,NA,NA,NA,5200
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",7.96649380812391,NA,NA,NA,503815
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2012-2014",NA,NA,NA,NA,47590
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2012-2014",NA,NA,NA,NA,3660
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",7.98542200026116,NA,NA,NA,1096068
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",8.11991054397118,NA,NA,NA,2984
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",8.04872542151815,NA,NA,NA,148881
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",7.94390075375673,NA,NA,NA,93604
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",8.03121734534574,NA,NA,NA,255560
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",8.07378842750251,NA,NA,NA,4382
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",8.13827228282092,NA,NA,NA,500923
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",8.09943909531851,NA,NA,NA,39569
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",7.96901649166559,NA,NA,NA,3122
"Contra Costa",6013,"Bay Area","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",8.07984936120867,NA,NA,NA,1049025
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",3.6677882,NA,NA,NA,1339
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2012-2014",NA,NA,NA,NA,594
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2012-2014",3.6677882,NA,NA,NA,787
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",3.90188201963356,NA,NA,NA,5300
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",3.78900661834149,NA,NA,NA,17582
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2012-2014",NA,NA,NA,NA,2080
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",3.77909715191881,NA,NA,NA,27788
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",3.86840558092506,NA,NA,NA,1935
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",3.96102352953625,NA,NA,NA,938
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",4.14324795189555,NA,NA,NA,967
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",4.03455364246848,NA,NA,NA,5093
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",3.96452385823077,NA,NA,NA,26
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",3.98257860667057,NA,NA,NA,18513
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",3.94166759561076,NA,NA,NA,966
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",4.12843160928488,NA,NA,NA,172
"Del Norte",6015,"North Coast","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",3.98831191332168,NA,NA,NA,28610
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",NA,NA,NA,NA,1041
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2012-2014",8.69794377,NA,NA,NA,7068
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2012-2014",NA,NA,NA,NA,1564
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",4.30272948341829,NA,NA,NA,22719
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",7.34338923874678,NA,NA,NA,143804
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2012-2014",NA,NA,NA,NA,5561
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",7.25661756816682,NA,NA,NA,182093
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",5.88032648139999,NA,NA,NA,1553
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",6.55451975094365,NA,NA,NA,6143
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",6.51109590763013,NA,NA,NA,1296
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",5.33045454904416,NA,NA,NA,21875
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",6.06048042168526,NA,NA,NA,261
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",6.02015108438536,NA,NA,NA,144689
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",6.21661547532969,NA,NA,NA,4923
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",6.28804903857237,NA,NA,NA,318
"El Dorado",6017,"North Sierra","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",5.9621145664379,NA,NA,NA,181058
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",8.69794377,NA,NA,NA,4608
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2012-2014",15.3902497225305,NA,NA,NA,91670
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2012-2014",15.2283958622819,NA,NA,NA,45409
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",15.2222942879273,NA,NA,NA,494077
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2012-2014",NA,NA,NA,NA,1341
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",15.0915145938583,NA,NA,NA,298219
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2012-2014",NA,NA,NA,NA,19607
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2012-2014",NA,NA,NA,NA,1818
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",15.1891651266742,NA,NA,NA,956749
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",13.1361538537263,NA,NA,NA,5979
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",14.0627833419454,NA,NA,NA,86856
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",14.1701243775331,NA,NA,NA,45005
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",14.1700749889146,NA,NA,NA,468070
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",13.8880742814797,NA,NA,NA,1066
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",13.5239432507775,NA,NA,NA,304522
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",13.7535183659292,NA,NA,NA,17208
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",13.9775226474767,NA,NA,NA,1744
"Fresno",6019,"Southern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",13.927572978625,NA,NA,NA,930450
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2012-2014",5.54994922,NA,NA,NA,485
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2012-2014",NA,NA,NA,NA,695
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2012-2014",9.34154064233252,NA,NA,NA,11094
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2012-2014",8.81379595065782,NA,NA,NA,15065
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2012-2014",8.98212528495094,NA,NA,NA,28029
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AIAN","2009-2011",8.76019816874203,NA,NA,NA,477
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Asian","2009-2011",8.72182735592097,NA,NA,NA,674
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","AfricanAm","2009-2011",8.74881092665001,NA,NA,NA,192
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Latino","2009-2011",9.02627905235715,NA,NA,NA,10539
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","NHOPI","2009-2011",8.5797206914,NA,NA,NA,22
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","White","2009-2011",8.84498794763619,NA,NA,NA,15717
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Multiple","2009-2011",8.84436428019057,NA,NA,NA,462
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Other","2009-2011",8.75860376091177,NA,NA,NA,39
"Glenn",6021,"Northern Central Valley","Annual Mean Ambient Concentration of Fine Particulate Matter (PM2.5)","none","Total","2009-2011",8.91114516576446,NA,NA,NA,28122
